Post 1  ,4 April at 21:21,"Hello everyone!
Post 24  ,28 October 2019,"Sucess is a habit !! Gold is the color !!
#Illu_Gold_again #RP_ka_tempo_high_hai",['https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-9/73011425_2695718230448515_5266504437546876928_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=8bfeb9&_nc_ohc=X3L5aGu5GUAAX_ldrB2&_nc_ht=scontent.fbho5-1.fna&oh=aa6a1bf996a3a5ea690ef2dd1fea6c44&oe=609B5A1E'],[]
Post 25  ,12 October 2019,"Kabaddi and the rise of Bharat | Arvind Sivdas | TEDxIITKharagpur 2019
The majority of the Indian audience is not English-speaking and most of the startups pander to the largely English speaking audience which has access to the internet. The different entrepreneurs out there should think about what ‘Bharat’ wants, and try and work inclusively. Taking the example of Kabaddi, we can see that though it is largely popular in the rural areas of the country, we don’t give it as much importance as some of the other games like Cricket or Football. To create a real impact, we need to focus on the largely vernacular audience, who make up the majority of the Indian population, says our speaker, Mr Arvind Sivdas. He is an IIT Madras and IIM Calcutta graduate who has founded 3 startups to date. Arvind Sivdas was always the inventor, the entrepreneur! His startup, Messy fractals, helps the players of Kabaddi predict the moves of their opponents, using Data Analytics. 
Check out this talk to know more about this interesting personality.
https://youtu.be/pneZN-vPSQk",['https://external.fbho5-1.fna.fbcdn.net/safe_image.php?d=AQFaeHYRAH05SHt3&w=500&h=261&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FpneZN-vPSQk%2Fmaxresdefault.jpg&cfs=1&ext=jpg&ccb=3-4&_nc_hash=AQGc4i71aIh3d--Q'],[]
Post 26  ,8 October 2019,Sitaaron ke Jahaan me milenge ab yaara  !! ,['https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-9/p843x403/71966188_3005260456215673_5058012229484412928_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=e3f864&_nc_ohc=vMfgmeTFvYQAX89hGdj&_nc_ht=scontent.fbho5-1.fna&tp=6&oh=b5d2b7064f15c4388f02daf7c82aa6cd&oe=609A8705'],[]
Post 27  ,8 October 2019,Bhole Baba ke sharan me !! Duniyan se chale door!! ,[],[]
Post 28  ,1 October 2019,"Technology Transfer Group organized an IPR Workshop for MTech and PhD freshers on 28th September, 2019 at S.N. Bose Auditorium. This event saw a very enthusiastic participation from the freshers.Here are a few glimpses of the workshop.","['https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-0/p600x600/72125867_2469833639777083_2934773933863337984_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=cdbe9c&_nc_ohc=ATEGwvm-1vMAX-4NGeh&_nc_ht=scontent.fbho5-1.fna&tp=6&oh=1c1846c1b09584d5fc1800b3f5d5b72a&oe=609B178C', 'https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-0/p600x600/71343285_2469834789776968_7264702298012516352_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=cdbe9c&_nc_ohc=FPPCCYMxZScAX9HFyBH&_nc_ht=scontent.fbho5-1.fna&tp=6&oh=6fb2176be29f427eaf85285b2eee009d&oe=609D1F3B', 'https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-0/p600x600/72076093_2469835646443549_850617920785481728_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=cdbe9c&_nc_ohc=-RMhvdmyLVcAX8wFm3l&_nc_ht=scontent.fbho5-1.fna&tp=6&oh=890e2d6640c408b3fcff370dde2ba94e&oe=609B3D11', 'https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-0/p600x600/71200761_2469836503110130_1221306682563362816_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=cdbe9c&_nc_ohc=6txBJZkye0YAX8qDNtZ&_nc_ht=scontent.fbho5-1.fna&tp=6&oh=d4960dfb694023eb6045c55f5cb8be04&oe=609D7518', 'https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-0/p600x600/71239579_2469837266443387_5480428825756041216_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=cdbe9c&_nc_ohc=MyitHzcHNC0AX8hDzST&_nc_ht=scontent.fbho5-1.fna&tp=6&oh=a37022cbf027b1bb0df6b2612e0b21b9&oe=609B6A19']",[]
Post 29  ,24 September 2019,Insightful event do come!!,['https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-9/p843x403/71708370_2456573117769802_5697806822937722880_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=730e14&_nc_ohc=yhwB8mLUXC4AX-6RzWJ&_nc_ht=scontent.fbho5-1.fna&tp=6&oh=6f707428c3f585c0983a39e41875f9b5&oe=609CD9F7'],[]
Post 30  ,20 September 2019,Try it for the other 5 cast too. ,['https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-9/70812722_1338154789696717_1889312674211168256_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=8bfeb9&_nc_ohc=mUAhVz118R0AX-kzWa2&_nc_ht=scontent.fbho5-1.fna&oh=4f1d76740dd570deabf0473d16135c18&oe=609B7A3A'],[]
Post 31  ,12 September 2019,"The most hard hitting poetry there can be.
Naveen Chourey",[None],['blob:https://www.facebook.com/ea5a274a-fc67-44a1-9182-4a1ae70bd8f1']
Post 32  ,10 September 2019,Agar sab kuch mil jayega zindagi mai to tamanna kiski karoge !! Kuch adhoori khwaishen hi  to zindagi jeene ka mazaa deti hai !! ,[],[]
Post 33  ,24 August 2019,"Is bio ke baad bhi Amazon Crack kar liye bhai ne.
#Amazon_Intern ",['https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-9/68782517_2411264505635369_4308017317905694720_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=ad2b24&_nc_ohc=RErO0gkm80QAX9dCLWD&_nc_ht=scontent.fbho5-1.fna&oh=fe4f5c100590b1bf59c817447fa15ace&oe=609D74E5'],[]
Post 34  ,24 August 2019,"Vedu Dada after sorting summer and winter intern in just two days !!
#Amafucinzon
#Gawd_for_a_reason","['https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-9/p843x403/69053251_2351562268399731_413876006558892032_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=ad2b24&_nc_ohc=qq9xzmsxRAgAX_x0pVV&_nc_ht=scontent.fbho5-1.fna&tp=6&oh=fe1dc8e0316f9a44fc74d3ed7d17bb6c&oe=609E14DD', 'https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-0/p640x640/69139497_858179561222794_6045842823389904896_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=ad2b24&_nc_ohc=897v-cldODgAX9_qNuc&_nc_ht=scontent.fbho5-1.fna&tp=6&oh=b68b83ccc0e7a8b9a3435f5130d03046&oe=609B221E', 'https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-0/p403x403/68657757_858179614556122_4325000159759958016_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=ad2b24&_nc_ohc=PPDXOSYrtqEAX8eJn1G&_nc_ht=scontent.fbho5-1.fna&tp=6&oh=c5a235b5bd92d4c375f521b7a3ecb01c&oe=609C513D', 'https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-9/p843x403/68947143_2442732725999445_410069896735490048_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=ad2b24&_nc_ohc=6r_6nH5oI0wAX8QHrhU&_nc_ht=scontent.fbho5-1.fna&tp=6&oh=fa0619ab435da46224631e6b3931a062&oe=609DC6C2']",[]
Post 35  ,24 August 2019,"Me-Bhai treat
Vedu- Haan be chalo
Me-*FROOTI*?!
Vedu-Haan Haan *FROOTI*!!
Me-Kab cha..??
Vedu-Abhi chalo bc!!
Congrats
 Dada
#Amazon — with Vedant Saraswat.",['https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-9/69452547_1429570167195444_754500254962810880_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=ad2b24&_nc_ohc=MnFjxCFz8-4AX8Kin9U&_nc_ht=scontent.fbho5-1.fna&oh=93e0b766c58a55ee5732d644794dfd8d&oe=609C00A6'],[]
Post 36  ,15 August 2019,"This Independence Day, let's commemorate the bravery of the millions who fought for our independence. We salute the spirit of the nation and its people!",['https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-9/p843x403/68535885_2384228261670955_5751584353264074752_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=730e14&_nc_ohc=K4oHhcwSJ94AX-wn6T5&_nc_ht=scontent.fbho5-1.fna&tp=6&oh=16f1725389d6676a50e31c68e1d111b2&oe=609C380B'],[]
